architecture,target,probe_type,tier,timescale_ms,n_neurons,r2_trained_mean,r2_trained_max,delta_r2_mean,selectivity_mean,n_significant,dominant_diagnosis,diagnosis_counts
volterra,I_T,mlp_1,1,5.0,5,0.5895673274993897,0.7037132382392883,-0.00014880895614624007,0.5044609847068787,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_T,mlp_2,1,5.0,5,0.6368306040763855,0.7480236291885376,0.009495246410369858,0.5044609847068787,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_T,ridge,1,5.0,5,0.5075223398208618,0.6252289056777954,0.0,0.5044609847068787,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_h,mlp_1,1,100.0,5,0.7802573323249817,0.7999582886695862,0.00188614130020136,0.5244234577417373,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_h,mlp_2,1,100.0,5,0.7864592552185059,0.8103262186050415,-0.0004706263542175201,0.5244234577417373,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_h,ridge,1,100.0,5,0.6558822655677796,0.6704097509384155,0.0,0.5244234577417373,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,gabaa_per_tc,mlp_1,1,5.0,5,0.48711166977882386,0.5755535364151001,-2.4408102035540025e-05,0.07997145938873286,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,gabaa_per_tc,mlp_2,1,5.0,5,0.5003194332122802,0.5894981622695923,0.00049022436141966,0.07997145938873286,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,gabaa_per_tc,ridge,1,5.0,5,0.47043488025665275,0.5627074599266052,0.0,0.07997145938873286,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,gabab_per_tc,mlp_1,1,150.0,5,0.9899673581123352,0.9911704063415528,-0.00012094974517821338,0.00873298251628864,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,gabab_per_tc,mlp_2,1,150.0,5,0.987026572227478,0.9886681437492372,-0.00064020156860348,0.00873298251628864,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,gabab_per_tc,ridge,1,150.0,5,0.988558828830719,0.9895567417144776,0.0,0.00873298251628864,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T,mlp_1,2,20.0,5,0.8829792022705079,0.8955013155937195,-0.002043151855468745,0.6149314852952956,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T,mlp_2,2,20.0,5,0.8652262091636658,0.8993215560913086,0.01206401586532592,0.6149314852952956,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T,ridge,2,20.0,5,0.7824527573585511,0.805438506603241,0.0,0.6149314852952956,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T_rank,mlp_1,3,20.0,5,0.8215287566184998,0.8486760258674622,0.0005886435508727793,0.7349574981927871,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T_rank,mlp_2,3,20.0,5,0.8080631494522095,0.8343958854675293,0.0006141662597655998,0.7349574981927871,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T_rank,ridge,3,20.0,5,0.7377514600753784,0.767792534828186,0.0,0.7349574981927871,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T_zscore,mlp_1,3,20.0,5,0.8944760680198669,0.9064964056015016,0.0005614638328551864,0.7942628067731856,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T_zscore,mlp_2,3,20.0,5,0.9042699456214904,0.9146766662597656,-0.00052195787429808,0.7942628067731856,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_h_T_zscore,ridge,3,20.0,5,0.8033216524124146,0.82978675365448,0.0,0.7942628067731856,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_m_T,mlp_1,2,1.0,5,0.6709205389022828,0.7111067771911621,0.0008348464965820399,0.5372535479068756,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,tc_m_T,mlp_2,2,1.0,5,0.6768762588500976,0.710739016532898,-0.0019998788833617996,0.5372535479068756,5,STRUCTURAL,{'STRUCTURAL': 5}
