architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained
lstm,G_h,1,tier1_identifiable,100.0,4,mlp_2,-0.12011923640966415,-1.0427874326705933,0.9226681962609291,0.4760782092809678,0.047619047619047616,0.14278232157230378,0.002598164273332628,105,35,0.6211678981781006,0.43966999650001526
lstm,I_T,1,tier1_identifiable,5.0,0,ridge,0.6394713640213012,0.5567295551300049,0.08274180889129634,0.6378891748189925,0.047619047619047616,0.0015821892023086548,0.0007399513290218064,50,9,0.8001314401626587,0.7473741173744202
lstm,I_T,1,tier1_identifiable,5.0,0,mlp_1,0.688485860824585,0.44987574219703674,0.23861011862754822,0.6378891748189925,0.047619047619047616,0.0015821892023086548,0.0007399513290218064,50,9,0.8318327069282532,0.6948443055152893
lstm,I_T,1,tier1_identifiable,5.0,0,mlp_2,0.7363643646240234,0.6444462537765503,0.09191811084747314,0.6378891748189925,0.047619047619047616,0.0015821892023086548,0.0007399513290218064,50,9,0.8593646287918091,0.8175302743911743
lstm,I_T,1,tier1_identifiable,5.0,1,ridge,0.4238054156303406,0.478031325340271,-0.05422590970993041,0.4227479600906372,0.047619047619047616,0.0010574555397033691,0.0006985471986723048,50,9,0.6527754068374634,0.6952542066574097
lstm,I_T,1,tier1_identifiable,5.0,1,mlp_1,0.4970569610595703,0.3790358603000641,0.11802110075950623,0.4227479600906372,0.047619047619047616,0.0010574555397033691,0.0006985471986723048,50,9,0.7100663781166077,0.6321486234664917
lstm,I_T,1,tier1_identifiable,5.0,1,mlp_2,0.5838267803192139,0.5342512130737305,0.0495755672454834,0.4227479600906372,0.047619047619047616,0.0010574555397033691,0.0006985471986723048,50,9,0.7660228610038757,0.7410275340080261
lstm,I_T,1,tier1_identifiable,5.0,2,ridge,0.3898837447166443,0.41315696239471433,-0.023273217678070057,0.38523496270179747,0.047619047619047616,0.0046487820148468015,0.0012856104401763975,50,9,0.6290695667266846,0.6473342180252075
lstm,I_T,1,tier1_identifiable,5.0,2,mlp_1,0.45110923051834106,0.34251293540000916,0.10859629511833191,0.38523496270179747,0.047619047619047616,0.0046487820148468015,0.0012856104401763975,50,9,0.6791673898696899,0.6002823710441589
lstm,I_T,1,tier1_identifiable,5.0,2,mlp_2,0.499783992767334,0.4679417014122009,0.03184229135513306,0.38523496270179747,0.047619047619047616,0.0046487820148468015,0.0012856104401763975,50,9,0.7110192179679871,0.6974502801895142
lstm,I_T,1,tier1_identifiable,5.0,3,ridge,0.4767815828323364,0.47101898193359376,0.0057626008987426425,0.4743768924474716,0.047619047619047616,0.002404690384864807,0.0008182771620971986,50,9,0.6917355060577393,0.6876817941665649
lstm,I_T,1,tier1_identifiable,5.0,3,mlp_1,0.5776720643043518,0.3677895963191986,0.2098824679851532,0.4743768924474716,0.047619047619047616,0.002404690384864807,0.0008182771620971986,50,9,0.7675368785858154,0.626701831817627
lstm,I_T,1,tier1_identifiable,5.0,3,mlp_2,0.6813098192214966,0.5827460885047913,0.09856373071670532,0.4743768924474716,0.047619047619047616,0.002404690384864807,0.0008182771620971986,50,9,0.827431857585907,0.7760106325149536
lstm,I_T,1,tier1_identifiable,5.0,4,ridge,0.4048025131225586,0.45855408906936646,-0.05375157594680785,0.4046934127807617,0.047619047619047616,0.00010910034179687498,0.00041380143168122835,50,9,0.6412978768348694,0.6824916005134583
lstm,I_T,1,tier1_identifiable,5.0,4,mlp_1,0.4627533555030823,0.36371204257011414,0.09904131293296814,0.4046934127807617,0.047619047619047616,0.00010910034179687498,0.00041380143168122835,50,9,0.6862866878509521,0.6207455396652222
lstm,I_T,1,tier1_identifiable,5.0,4,mlp_2,0.5204559564590454,0.4950025975704193,0.0254533588886261,0.4046934127807617,0.047619047619047616,0.00010910034179687498,0.00041380143168122835,50,9,0.7253636717796326,0.7143238186836243
